,Service Name,Transport Protocol,Description
5782,3par-mgmt,"tcp, udp",3PAR Management Service
5783,3par-mgmt-ssl,"tcp, udp",3PAR Management Service with SSL
5784,ibar,"tcp, udp",Cisco Interbox Application Redundancy
5785,3par-rcopy,"tcp, udp",3PAR Inform Remote Copy
5786,cisco-redu,"tcp, udp",redundancy notification
5787,waascluster,"tcp, udp",Cisco WAAS Cluster Protocol
5793,xtreamx,"tcp, udp",XtreamX Supervised Peer message
5794,spdp,"tcp, udp",Simple Peered Discovery Protocol
5798,enlabel-dpl,"tcp, udp",Proprietary Website deployment service
5813,icmpd,"tcp, udp",ICMPD
5814,spt-automation,"tcp, udp",Support Automation
5820,autopassdaemon,"tcp, udp",AutoPass licensing
5841,shiprush-d-ch,"tcp, udp",Z-firm ShipRush interface for web access and bidirectional data
5842,reversion,"tcp, udp",Reversion Backup/Restore
5859,wherehoo,"tcp, udp",WHEREHOO
5863,ppsuitemsg,"tcp, udp",PlanetPress Suite Messeng
5868,diameters,"sctp, tcp, udp","Diameter over TLS/TCP, Diameter over DTLS/SCTP"
5883,jute,tcp,Javascript Unit Test Environment
5900,rfb,"tcp, udp",Remote Framebuffer
5903,ff-ice,"sctp, tcp, udp",Flight & Flow Info for Collaborative Env
5904,ag-swim,"sctp, tcp, udp",Air-Ground SWIM
5905,asmgcs,"sctp, tcp, udp",Adv Surface Mvmnt and Guidance Cont Sys
5906,rpas-c2,"sctp, tcp, udp",Remotely Piloted Vehicle C&C
5907,dsd,"sctp, tcp, udp",Distress and Safety Data App
5908,ipsma,"sctp, tcp, udp",IPS Management Application
5909,agma,"sctp, tcp, udp",Air-ground media advisory
5910,"ats-atn, cm","sctp, tcp, udp","Air Traffic Services applications using ATN, Context Management"
5911,"ats-acars, cpdlc","sctp, tcp, udp","Air Traffic Services applications using ACARS, Controller Pilot Data Link Communication"
5912,"ais-met, fis","sctp, tcp, udp","Flight Information Services, Aeronautical Information Service/Meteorological applications using ACARS"
5913,"aoc-acars, ads-c","sctp, tcp, udp","Automatic Dependent Surveillance, Airline operational communications applications using ACARS"
5914,ipsdtls,"sctp, tcp, udp",Security for Internet Protocol Suite
5963,indy,"tcp, udp",Indy Application Server
5968,mppolicy-v5,"tcp, udp",mppolicy-v5
5969,mppolicy-mgr,"tcp, udp",mppolicy-mgr
5984,couchdb,"tcp, udp",CouchDB
5985,wsman,"tcp, udp",WBEM WS-Management HTTP
5986,wsmans,"tcp, udp",WBEM WS-Management HTTP over TLS/SSL
5987,wbem-rmi,"tcp, udp",WBEM RMI
5988,wbem-http,"tcp, udp",WBEM CIM-XML (HTTP)
5989,wbem-https,"tcp, udp",WBEM CIM-XML (HTTPS)
5990,wbem-exp-https,"tcp, udp",WBEM Export HTTPS
5991,nuxsl,"tcp, udp",NUXSL
5992,consul-insight,"tcp, udp",Consul InSight Security
5993,cim-rs,"tcp, udp",DMTF WBEM CIM REST
5994,rms-agent,"tcp, udp",RMS Agent Listening Service
5999,cvsup,"tcp, udp",CVSup
6000,x11,"tcp, udp",X Window System
6001,x11,"tcp, udp",X Window System
6002,x11,"tcp, udp",X Window System
6003,x11,"tcp, udp",X Window System
6004,x11,"tcp, udp",X Window System
6005,x11,"tcp, udp",X Window System
6006,x11,"tcp, udp",X Window System
6007,x11,"tcp, udp",X Window System
6008,x11,"tcp, udp",X Window System
6009,x11,"tcp, udp",X Window System
6010,x11,"tcp, udp",X Window System
6011,x11,"tcp, udp",X Window System
6012,x11,"tcp, udp",X Window System
6013,x11,"tcp, udp",X Window System
6014,x11,"tcp, udp",X Window System
6015,x11,"tcp, udp",X Window System
6016,x11,"tcp, udp",X Window System
6017,x11,"tcp, udp",X Window System
6018,x11,"tcp, udp",X Window System
6019,x11,"tcp, udp",X Window System
6020,x11,"tcp, udp",X Window System
6021,x11,"tcp, udp",X Window System
6022,x11,"tcp, udp",X Window System
6023,x11,"tcp, udp",X Window System
6024,x11,"tcp, udp",X Window System
6025,x11,"tcp, udp",X Window System
6026,x11,"tcp, udp",X Window System
6027,x11,"tcp, udp",X Window System
6028,x11,"tcp, udp",X Window System
6029,x11,"tcp, udp",X Window System
6030,x11,"tcp, udp",X Window System
6031,x11,"tcp, udp",X Window System
6032,x11,"tcp, udp",X Window System
6033,x11,"tcp, udp",X Window System
6034,x11,"tcp, udp",X Window System
6035,x11,"tcp, udp",X Window System
6036,x11,"tcp, udp",X Window System
6037,x11,"tcp, udp",X Window System
6038,x11,"tcp, udp",X Window System
6039,x11,"tcp, udp",X Window System
6040,x11,"tcp, udp",X Window System
6041,x11,"tcp, udp",X Window System
6042,x11,"tcp, udp",X Window System
6043,x11,"tcp, udp",X Window System
6044,x11,"tcp, udp",X Window System
6045,x11,"tcp, udp",X Window System
6046,x11,"tcp, udp",X Window System
6047,x11,"tcp, udp",X Window System
6048,x11,"tcp, udp",X Window System
6049,x11,"tcp, udp",X Window System
6050,x11,"tcp, udp",X Window System
6051,x11,"tcp, udp",X Window System
6052,x11,"tcp, udp",X Window System
6053,x11,"tcp, udp",X Window System
6054,x11,"tcp, udp",X Window System
6055,x11,"tcp, udp",X Window System
6056,x11,"tcp, udp",X Window System
6057,x11,"tcp, udp",X Window System
6058,x11,"tcp, udp",X Window System
6059,x11,"tcp, udp",X Window System
6060,x11,"tcp, udp",X Window System
6061,x11,"tcp, udp",X Window System
6062,x11,"tcp, udp",X Window System
6063,x11,"tcp, udp",X Window System
6064,ndl-ahp-svc,"tcp, udp",NDL-AHP-SVC
6065,winpharaoh,"tcp, udp",WinPharaoh
6066,ewctsp,"tcp, udp",EWCTSP
6068,gsmp-ancp,"tcp, udp",GSMP/ANCP
6069,trip,"tcp, udp",TRIP
6070,messageasap,"tcp, udp",Messageasap
6071,ssdtp,"tcp, udp",SSDTP
6072,diagnose-proc,"tcp, udp",DIAGNOSE-PROC
6073,directplay8,"tcp, udp",DirectPlay8
6074,max,"tcp, udp",Microsoft Max
6075,dpm-acm,"tcp, udp",Microsoft DPM Access Control Manager
6076,msft-dpm-cert,"tcp, udp",Microsoft DPM WCF Certificates
6077,iconstructsrv,"tcp, udp",iConstruct Server
6080,gue,"tcp, udp",Generic UDP Encapsulation
6081,geneve,"tcp, udp",Generic Network Virtualization Encapsulation (Geneve)
6082,p25cai,"tcp, udp",APCO Project 25 Common Air Interface - UDP encapsulation
6083,miami-bcast,"tcp, udp",telecomsoftware miami broadcast
6084,reload-config,"tcp, udp",Peer to Peer Infrastructure Configuration
6085,konspire2b,"tcp, udp",konspire2b p2p network
6086,pdtp,"tcp, udp",PDTP P2P
6087,ldss,"tcp, udp",Local Download Sharing Service
6088,"doglms-notify, doglms","tcp, udp","SuperDog License Manager, SuperDog License Manager Notifier"
6099,raxa-mgmt,"tcp, udp",RAXA Management
6100,synchronet-db,"tcp, udp",SynchroNet-db
6101,synchronet-rtc,"tcp, udp",SynchroNet-rtc
6102,synchronet-upd,"tcp, udp",SynchroNet-upd
6103,rets,"tcp, udp",RETS
6104,dbdb,"tcp, udp",DBDB
6105,primaserver,"tcp, udp",Prima Server
6106,mpsserver,"tcp, udp",MPS Server
6107,etc-control,"tcp, udp",ETC Control
6108,sercomm-scadmin,"tcp, udp",Sercomm-SCAdmin
6109,globecast-id,"tcp, udp",GLOBECAST-ID
6110,softcm,"tcp, udp",HP SoftBench CM
6111,spc,"tcp, udp",HP SoftBench Sub-Process Control
6112,dtspcd,"tcp, udp",Desk-Top Sub-Process Control Daemon
6113,dayliteserver,"tcp, udp",Daylite Server
6114,wrspice,"tcp, udp",WRspice IPC Service
6115,xic,"tcp, udp",Xic IPC Service
6116,xtlserv,"tcp, udp",XicTools License Manager Service
6117,daylitetouch,"tcp, udp",Daylite Touch Sync
6118,tipc,"tcp, udp",Transparent Inter Process Communication
6121,spdy,"tcp, udp",SPDY for a faster web
6122,bex-webadmin,"tcp, udp",Backup Express Web Server
6123,backup-express,"tcp, udp",Backup Express
6124,pnbs,"tcp, udp",Phlexible Network Backup Service
6130,damewaremobgtwy,"tcp, udp",The DameWare Mobile Gateway Service
6133,nbt-wol,"tcp, udp",New Boundary Tech WOL
6140,pulsonixnls,"tcp, udp",Pulsonix Network License Service
6141,meta-corp,"tcp, udp",Meta Corporation License Manager
6142,aspentec-lm,"tcp, udp",Aspen Technology License Manager
6143,watershed-lm,"tcp, udp",Watershed License Manager
6144,statsci1-lm,"tcp, udp",StatSci License Manager - 1
6145,statsci2-lm,"tcp, udp",StatSci License Manager - 2
6146,lonewolf-lm,"tcp, udp",Lone Wolf Systems License Manager
6147,montage-lm,"tcp, udp",Montage License Manager
6149,tal-pod,"tcp, udp",tal-pod
6159,efb-aci,"tcp, udp",EFB Application Control Interface
6160,"ecmp-data, ecmp","tcp, udp","Emerson Extensible Control and Management Protocol Data, Emerson Extensible Control and Management Protocol"
6161,patrol-ism,"tcp, udp",PATROL Internet Srv Mgr
6162,patrol-coll,"tcp, udp",PATROL Collector
6163,pscribe,"tcp, udp",Precision Scribe Cnx Port
6200,lm-x,"tcp, udp",LM-X License Manager by X-Formation
6201,thermo-calc,"tcp, udp",Management of service nodes in a processing grid for thermodynamic calculations
6209,qmtps,"tcp, udp",QMTP over TLS
6222,radmind,"tcp, udp",Radmind Access Protocol
6241,"jeol-nsdtp-1, jeol-nsddp-1","tcp, udp","JEOL Network Services Dynamic Discovery Protocol 1, JEOL Network Services Data Transport Protocol 1"
6242,"jeol-nsdtp-2, jeol-nsddp-2","tcp, udp","JEOL Network Services Data Transport Protocol 2, JEOL Network Services Dynamic Discovery Protocol 2"
6243,"jeol-nsddp-3, jeol-nsdtp-3","tcp, udp","JEOL Network Services Data Transport Protocol 3, JEOL Network Services Dynamic Discovery Protocol 3"
6244,"jeol-nsddp-4, jeol-nsdtp-4","tcp, udp","JEOL Network Services Data Transport Protocol 4, JEOL Network Services Dynamic Discovery Protocol 4"
6251,tl1-raw-ssl,"tcp, udp",TL1 Raw Over SSL/TLS
6252,tl1-ssh,"tcp, udp",TL1 over SSH
6253,crip,"tcp, udp",CRIP
6267,gld,"tcp, udp",GridLAB-D User Interface
6268,grid,"tcp, udp",Grid Authentication
6269,grid-alt,"tcp, udp",Grid Authentication Alt
6300,bmc-grx,"tcp, udp",BMC GRX
6301,"bmc_ctd_ldap, bmc-ctd-ldap","tcp, udp","BMC CONTROL-D LDAP SERVER, BMC CONTROL-D LDAP SERVER
IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
6306,ufmp,"tcp, udp",Unified Fabric Management Protocol
6315,"scup, scup-disc","tcp, udp","Sensor Control Unit Protocol, Sensor Control Unit Protocol Discovery Protocol"
6316,abb-escp,"tcp, udp",Ethernet Sensor Communications Protocol
6317,"nav-data-cmd, nav-data","tcp, udp","Navtech Radar Sensor Data, Navtech Radar Sensor Data Command"
6318,iona-data,"tcp, udp",IONA Measurement and control data
6320,repsvc,"tcp, udp",Double-Take Replication Service
6321,emp-server1,"tcp, udp",Empress Software Connectivity Server 1
6322,emp-server2,"tcp, udp",Empress Software Connectivity Server 2
6324,"hrd-ns-disc, hrd-ncs","tcp, udp","HR Device Network service, HR Device Network Configuration Service"
6325,dt-mgmtsvc,"tcp, udp",Double-Take Management Service
6326,dt-vra,"tcp, udp",Double-Take Virtual Recovery Assistant
6343,sflow,"tcp, udp",sFlow traffic monitoring
6344,streletz,"tcp, udp",Argus-Spectr security and fire-prevention systems service
6346,gnutella-svc,"tcp, udp",gnutella-svc
6347,gnutella-rtr,"tcp, udp",gnutella-rtr
6350,adap,"tcp, udp",App Discovery and Access Protocol
6355,pmcs,"tcp, udp",PMCS applications
6360,metaedit-mu,"tcp, udp",MetaEdit+ Multi-User
6363,ndn,"tcp, udp",Named Data Networking
6370,metaedit-se,"tcp, udp",MetaEdit+ Server Administration
6379,redis,"tcp, udp",An advanced key-value cache and store
6382,metatude-mds,"tcp, udp",Metatude Dialogue Server
6389,clariion-evr01,"tcp, udp",clariion-evr01
6390,metaedit-ws,"tcp, udp",MetaEdit+ WebService API
6400,boe-cms,,Business Objects CMS contact port
6401,boe-was,,boe-was
6402,boe-eventsrv,,boe-eventsrv
6403,boe-cachesvr,,boe-cachesvr
6404,boe-filesvr,,Business Objects Enterprise internal server
6405,boe-pagesvr,,Business Objects Enterprise internal server
6406,boe-processsvr,,Business Objects Enterprise internal server
6407,boe-resssvr1,,Business Objects Enterprise internal server
6408,boe-resssvr2,,Business Objects Enterprise internal server
6409,boe-resssvr3,,Business Objects Enterprise internal server
6410,boe-resssvr4,,Business Objects Enterprise internal server
6417,faxcomservice,"tcp, udp",Faxcom Message Service
6418,syserverremote,"tcp, udp",SYserver remote commands
6419,"svdrp-disc, svdrp","tcp, udp","Simple VDR Protocol, Simple VDR Protocol Discovery"
6420,nim-vdrshell,"tcp, udp",NIM_VDRShell
6421,nim-wan,"tcp, udp",NIM_WAN
6432,pgbouncer,"tcp, udp",PgBouncer
6440,heliosd,"tcp, udp",heliosd daemon
6442,tarp,"tcp, udp",Transitory Application Request Protocol
6443,sun-sr-https,"tcp, udp",Service Registry Default HTTPS Domain
6444,"sge_qmaster, sge-qmaster","tcp, udp","Grid Engine Qmaster Service, Grid Engine Qmaster Service
IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
6445,"sge_execd, sge-execd","tcp, udp","Grid Engine Execution Service
IANA assigned this well-formed service name as a replacement for ""sge_execd""., Grid Engine Execution Service"
6446,mysql-proxy,"tcp, udp",MySQL Proxy
6455,skip-cert-recv,"tcp, udp",SKIP Certificate Receive
6456,skip-cert-send,"tcp, udp",SKIP Certificate Send
6464,ieee11073-20701,"tcp, udp",Port assignment for medical device communication in accordance to IEEE 11073-20701
6471,lvision-lm,"tcp, udp",LVision License Manager
6480,sun-sr-http,"tcp, udp",Service Registry Default HTTP Domain
6481,servicetags,"tcp, udp",Service Tags
6482,ldoms-mgmt,"tcp, udp",Logical Domains Management Interface
6483,SunVTS-RMI,"tcp, udp",SunVTS RMI
6484,sun-sr-jms,"tcp, udp",Service Registry Default JMS Domain
6485,sun-sr-iiop,"tcp, udp",Service Registry Default IIOP Domain
6486,sun-sr-iiops,"tcp, udp",Service Registry Default IIOPS Domain
6487,sun-sr-iiop-aut,"tcp, udp",Service Registry Default IIOPAuth Domain
6488,sun-sr-jmx,"tcp, udp",Service Registry Default JMX Domain
6489,sun-sr-admin,"tcp, udp",Service Registry Default Admin Domain
6500,boks,"tcp, udp",BoKS Master
6501,"boks_servc, boks-servc","tcp, udp","BoKS Servc, BoKS Servc
IANA assigned this well-formed service name as a replacement for ""boks_servc""."
6502,"boks_servm, boks-servm","tcp, udp","BoKS Servm, BoKS Servm
IANA assigned this well-formed service name as a replacement for ""boks_servm""."
6503,"boks_clntd, boks-clntd","tcp, udp","BoKS Clntd, BoKS Clntd
IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
6505,"badm_priv, badm-priv","tcp, udp","BoKS Admin Private Port, BoKS Admin Private Port
IANA assigned this well-formed service name as a replacement for ""badm_priv""."
6506,"badm_pub, badm-pub","tcp, udp","BoKS Admin Public Port
IANA assigned this well-formed service name as a replacement for ""badm_pub""., BoKS Admin Public Port"
6507,"bdir_priv, bdir-priv","tcp, udp","Private Port
IANA assigned this well-formed service name as a replacement for ""bdir_priv""., Private Port, BoKS Dir Server"
6508,"bdir-pub, bdir_pub","tcp, udp","Public Port, Public Port
IANA assigned this well-formed service name as a replacement for ""bdir_pub""., BoKS Dir Server"
6509,mgcs-mfp-port,"tcp, udp",MGCS-MFP Port
6510,mcer-port,"tcp, udp",MCER Port
6511,dccp-udp,"tcp, udp",Datagram Congestion Control Protocol Encapsulation for NAT Traversal
6513,netconf-tls,"tcp, udp",NETCONF over TLS
6514,syslog-tls,"tcp, dccp, udp","Syslog over TLS, syslog over DTLS"
6515,elipse-rec,"tcp, udp",Elipse RPC Protocol
6543,lds-distrib,"tcp, udp",lds_distrib
6544,lds-dump,"tcp, udp",LDS Dump Service
6547,apc-6547,"tcp, udp",APC 6547
6548,apc-6548,"tcp, udp",APC 6548
6549,apc-6549,"tcp, udp",APC 6549
6550,fg-sysupdate,"tcp, udp",fg-sysupdate
6551,sum,"tcp, udp",Software Update Manager
6556,checkmk-agent,"tcp, udp",Checkmk Monitoring Agent
6558,xdsxdm,"tcp, udp",nan
6566,sane-port,"tcp, udp",SANE Control Port
6568,"canit_store, rp-reputation, canit-store","tcp, udp","CanIt Storage Manager, Roaring Penguin IP Address Reputation Collection, CanIt Storage Manager
IANA assigned this well-formed service name as a replacement for ""canit_store""."
6579,affiliate,"tcp, udp",Affiliate
6580,parsec-master,"tcp, udp",Parsec Masterserver
6581,parsec-peer,"tcp, udp",Parsec Peer-to-Peer
6582,parsec-game,"tcp, udp",Parsec Gameserver
6583,joaJewelSuite,"tcp, udp",JOA Jewel Suite
6600,mshvlm,"tcp, udp",Microsoft Hyper-V Live Migration
6601,mstmg-sstp,"tcp, udp",Microsoft Threat Management Gateway SSTP
6602,wsscomfrmwk,"tcp, udp",Windows WSS Communication Framework
6619,odette-ftps,"tcp, udp",ODETTE-FTP over TLS/SSL
6620,kftp-data,"tcp, udp",Kerberos V5 FTP Data
6621,kftp,"tcp, udp",Kerberos V5 FTP Control
6622,mcftp,"tcp, udp",Multicast FTP
6623,ktelnet,"tcp, udp",Kerberos V5 Telnet
6624,datascaler-db,"tcp, udp",DataScaler database
6625,datascaler-ctl,"tcp, udp",DataScaler control
6626,wago-service,"tcp, udp",WAGO Service and Update
6627,nexgen,"tcp, udp",Allied Electronics NeXGen
6628,afesc-mc,"tcp, udp",AFE Stock Channel M/C
6629,nexgen-aux,"tcp, udp","(non ANDI) multi-protocol multi-function interface to
      the Allied ANDI-based family of forecourt controllers, Secondary, (non ANDI) multi-protocol multi-function interface to
    the Allied ANDI-based family of forecourt controllers"
6632,mxodbc-connect,"tcp, udp",eGenix mxODBC Connect
6633,cisco-vpath-tun,"tcp, udp",Cisco vPath Services Overlay
6634,mpls-pm,"tcp, udp",MPLS Performance Measurement out-of-band response
6635,mpls-udp,"tcp, udp",Encapsulate MPLS packets in UDP tunnels.
6636,mpls-udp-dtls,"tcp, udp",Encapsulate MPLS packets in UDP tunnels with DTLS.
6640,ovsdb,"tcp, udp",Open vSwitch Database protocol
6653,openflow,"tcp, udp",OpenFlow
6655,pcs-sf-ui-man,"tcp, udp",PC SOFT - Software factory UI/manager
6656,emgmsg,"tcp, udp",Emergency Message Control Service
6657,palcom-disc,"tcp, udp",PalCom Discovery
6658,nan,,Unassigned
6659,nan,,Unassigned
6660,nan,,Unassigned
6661,nan,,Unassigned
6662,nan,,Unassigned
6663,nan,,Unassigned
6664,nan,,Unassigned
6665,ircu,"tcp, udp",IRCU
6666,ircu,"tcp, udp",IRCU
6667,ircu,"tcp, udp",IRCU
6668,ircu,"tcp, udp",IRCU
6669,ircu,"tcp, udp",IRCU
6670,vocaltec-gold,"tcp, udp",Vocaltec Global Online Directory
6671,p4p-portal,"tcp, udp",P4P Portal Service
6672,"vision-server, vision_server","tcp, udp","vision_server
IANA assigned this well-formed service name as a replacement for ""vision_server""., vision_server"
6673,"vision-elmd, vision_elmd","tcp, udp","vision_elmd
IANA assigned this well-formed service name as a replacement for ""vision_elmd""., vision_elmd"
6678,"vfbp-disc, vfbp","tcp, udp","Viscount Freedom Bridge Discovery, Viscount Freedom Bridge Protocol"
6679,osaut,"tcp, udp",Osorno Automation
6687,clever-ctrace,"tcp, udp",CleverView for cTrace Message Service
6688,clever-tcpip,"tcp, udp",CleverView for TCP/IP Message Service
6689,tsa,"tcp, udp",Tofino Security Appliance
6690,cleverdetect,"tcp, udp",CLEVERDetect Message Service
6696,babel,"tcp, udp",Babel Routing Protocol
6697,ircs-u,"tcp, udp",Internet Relay Chat via TLS/SSL
6699,babel-dtls,"tcp, udp",Babel Routing Protocol over DTLS
6701,"nan, kti-icad-srvr","sctp, tcp, udp","KTI/ICAD Nameserver, Unassigned"
6702,e-design-net,"sctp, tcp, udp",e-Design network
6703,e-design-web,"tcp, udp",e-Design web
6704,"frc-hp, nan","tcp, sctp, udp","Reserved, ForCES HP (High Priority) channel"
6705,frc-mp,"tcp, sctp, udp",ForCES MP (Medium Priority) channel
6706,frc-lp,"tcp, sctp, udp",ForCES LP (Low priority) channel
6714,ibprotocol,"tcp, udp",Internet Backplane Protocol
6715,fibotrader-com,"tcp, udp",Fibotrader Communications
6716,princity-agent,"tcp, udp",Princity Agent
6767,bmc-perf-agent,"tcp, udp",BMC PERFORM AGENT
6768,bmc-perf-mgrd,"tcp, udp",BMC PERFORM MGRD
6769,adi-gxp-srvprt,"tcp, udp",ADInstruments GxP Server
6770,plysrv-http,"tcp, udp",PolyServe http
6771,plysrv-https,"tcp, udp",PolyServe https
6777,ntz-tracker,"tcp, udp",netTsunami Tracker
6778,ntz-p2p-storage,"tcp, udp",netTsunami p2p storage system
6784,bfd-lag,"tcp, udp",Bidirectional Forwarding Detection (BFD) on Link Aggregation Group (LAG) Interfaces
6785,dgpf-exchg,"tcp, udp",DGPF Individual Exchange
6786,smc-jmx,"tcp, udp",Sun Java Web Console JMX
6787,smc-admin,"tcp, udp",Sun Web Console Admin
6788,smc-http,"tcp, udp",SMC-HTTP
6789,radg,"tcp, udp",GSS-API for the Oracle Remote Administration Daemon
6790,hnmp,"tcp, udp",HNMP
6791,hnm,"tcp, udp",Halcyon Network Manager
6801,acnet,"tcp, udp",ACNET Control System Protocol
6817,pentbox-sim,"tcp, udp",PenTBox Secure IM Protocol
6831,ambit-lm,"tcp, udp",ambit-lm
6841,netmo-default,"tcp, udp",Netmo Default
6842,netmo-http,"tcp, udp",Netmo HTTP
6850,iccrushmore,"tcp, udp",ICCRUSHMORE
6868,"acctopus-cc, acctopus-st","tcp, udp","Acctopus Status, Acctopus Command Channel"
6888,muse,"tcp, udp",MUSE
6900,rtimeviewer,"tcp, udp",R*TIME Viewer Data Interface
6901,jetstream,"tcp, udp",Novell Jetstream messaging protocol
6924,split-ping,"tcp, udp",Ping with RX/TX latency/loss split
6935,ethoscan,"tcp, udp",EthoScan Service
6936,xsmsvc,"tcp, udp",XenSource Management Service
